fran_id,opp_fran,prob,opp_prob
Warriors,Hawks,0.647280903669,0.352719096331
Pacers,Hornets,0.523157416373,0.476842583627
Heat,Cavaliers,0.148315482186,0.851684517814
Kings,Nuggets,0.331493293182,0.668506706818
Bulls,Pistons,0.563439376511,0.436560623489
Celtics,Clippers,0.174891291551,0.825108708449
Nets,Grizzlies,0.210739937154,0.789260062846
Trailblazers,Timberwolves,0.719571754491,0.280428245509
Knicks,Magic,0.332899238863,0.667100761137
Bucks,Sixers,0.64489862809,0.35510137191
Rockets,Spurs,0.354319460417,0.645680539583
Pelicans,Jazz,0.403041418449,0.596958581551
